Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreatePrivateLead,Chrome 69.0.3497.100,,2018-10-17 13:30:55,2018-10-17 13:34:30,3m - 35.338s,FAILED
,,,,,,
Test Cases/SmokeTest/PrivateLead_CreateLead,Chrome 69.0.3497.100,,2018-10-17 13:30:55,2018-10-17 13:32:08,1m - 13.020s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-17 13:30:56,2018-10-17 13:31:00,4.272s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-17 13:31:00,2018-10-17 13:31:00,0.120s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-17 13:31:00,2018-10-17 13:31:01,1.178s,PASSED
setText,Chrome 69.0.3497.100,Insert a valid Login / password and click on Sign in button,2018-10-17 13:31:01,2018-10-17 13:31:01,0.152s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-17 13:31:01,2018-10-17 13:31:01,0.094s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 13:31:01,2018-10-17 13:31:04,2.598s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-17 13:31:04,2018-10-17 13:31:04,0.049s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,The dashboard appear,2018-10-17 13:31:04,2018-10-17 13:31:04,0.046s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-17 13:31:04,2018-10-17 13:31:04,0.007s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 13:31:04,2018-10-17 13:32:06,1m - 1.593s,FAILED
,,,,,,
Test Cases/SmokeTest/PrivateLead_CreateLead,Chrome 69.0.3497.100,,2018-10-17 13:32:08,2018-10-17 13:33:19,1m - 11.000s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-17 13:32:08,2018-10-17 13:32:11,3.325s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-17 13:32:11,2018-10-17 13:32:11,0.095s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-17 13:32:11,2018-10-17 13:32:13,1.115s,PASSED
setText,Chrome 69.0.3497.100,Insert a valid Login / password and click on Sign in button,2018-10-17 13:32:13,2018-10-17 13:32:13,0.090s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-17 13:32:13,2018-10-17 13:32:13,0.075s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 13:32:13,2018-10-17 13:32:15,2.517s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-17 13:32:15,2018-10-17 13:32:15,0.011s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,The dashboard appear,2018-10-17 13:32:15,2018-10-17 13:32:15,0.023s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-17 13:32:15,2018-10-17 13:32:15,0.010s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 13:32:15,2018-10-17 13:33:17,1m - 1.514s,FAILED
,,,,,,
Test Cases/SmokeTest/PrivateLead_CreateLead,Chrome 69.0.3497.100,,2018-10-17 13:33:19,2018-10-17 13:34:30,1m - 10.933s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-17 13:33:19,2018-10-17 13:33:22,3.188s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-17 13:33:22,2018-10-17 13:33:22,0.107s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-17 13:33:22,2018-10-17 13:33:23,1.116s,PASSED
setText,Chrome 69.0.3497.100,Insert a valid Login / password and click on Sign in button,2018-10-17 13:33:23,2018-10-17 13:33:24,0.111s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-17 13:33:24,2018-10-17 13:33:24,0.077s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 13:33:24,2018-10-17 13:33:26,2.553s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-17 13:33:26,2018-10-17 13:33:26,0.010s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,The dashboard appear,2018-10-17 13:33:26,2018-10-17 13:33:26,0.032s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-17 13:33:26,2018-10-17 13:33:26,0.005s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 13:33:26,2018-10-17 13:34:28,1m - 1.504s,FAILED
