Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreatePrivateLead,Chrome 69.0.3497.100,,2018-10-16 12:04:22,2018-10-16 12:07:57,3m - 34.384s,FAILED
,,,,,,
Test Cases/SmokeTest/PrivateLead_CreateLead,Chrome 69.0.3497.100,,2018-10-16 12:04:22,2018-10-16 12:05:34,1m - 11.933s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-16 12:04:23,2018-10-16 12:04:26,3.112s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-16 12:04:26,2018-10-16 12:04:26,0.123s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-16 12:04:26,2018-10-16 12:04:27,1.132s,PASSED
setText,Chrome 69.0.3497.100,Insert a valid Login / password and click on Sign in button,2018-10-16 12:04:27,2018-10-16 12:04:28,0.157s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 12:04:28,2018-10-16 12:04:28,0.086s,PASSED
click,Chrome 69.0.3497.100,,2018-10-16 12:04:28,2018-10-16 12:04:31,2.955s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-16 12:04:31,2018-10-16 12:04:31,0.058s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,The dashboard appear,2018-10-16 12:04:31,2018-10-16 12:04:31,0.034s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-16 12:04:31,2018-10-16 12:04:31,0.007s,PASSED
click,Chrome 69.0.3497.100,,2018-10-16 12:04:31,2018-10-16 12:05:32,1m - 1.482s,FAILED
,,,,,,
Test Cases/SmokeTest/PrivateLead_CreateLead,Chrome 69.0.3497.100,,2018-10-16 12:05:34,2018-10-16 12:06:46,1m - 11.148s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-16 12:05:34,2018-10-16 12:05:38,3.109s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-16 12:05:38,2018-10-16 12:05:38,0.114s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-16 12:05:38,2018-10-16 12:05:39,1.118s,PASSED
setText,Chrome 69.0.3497.100,Insert a valid Login / password and click on Sign in button,2018-10-16 12:05:39,2018-10-16 12:05:39,0.095s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 12:05:39,2018-10-16 12:05:39,0.082s,PASSED
click,Chrome 69.0.3497.100,,2018-10-16 12:05:39,2018-10-16 12:05:42,2.939s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-16 12:05:42,2018-10-16 12:05:42,0.009s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,The dashboard appear,2018-10-16 12:05:42,2018-10-16 12:05:42,0.025s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-16 12:05:42,2018-10-16 12:05:42,0.010s,PASSED
click,Chrome 69.0.3497.100,,2018-10-16 12:05:42,2018-10-16 12:06:43,1m - 1.415s,FAILED
,,,,,,
Test Cases/SmokeTest/PrivateLead_CreateLead,Chrome 69.0.3497.100,,2018-10-16 12:06:46,2018-10-16 12:07:57,1m - 10.991s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-16 12:06:46,2018-10-16 12:06:49,3.029s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-16 12:06:49,2018-10-16 12:06:49,0.104s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-16 12:06:49,2018-10-16 12:06:50,1.115s,PASSED
setText,Chrome 69.0.3497.100,Insert a valid Login / password and click on Sign in button,2018-10-16 12:06:50,2018-10-16 12:06:50,0.097s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 12:06:50,2018-10-16 12:06:50,0.070s,PASSED
click,Chrome 69.0.3497.100,,2018-10-16 12:06:50,2018-10-16 12:06:53,2.921s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-16 12:06:53,2018-10-16 12:06:53,0.008s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,The dashboard appear,2018-10-16 12:06:53,2018-10-16 12:06:53,0.021s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-16 12:06:53,2018-10-16 12:06:53,0.011s,PASSED
click,Chrome 69.0.3497.100,,2018-10-16 12:06:53,2018-10-16 12:07:54,1m - 1.397s,FAILED
